Central name,Observed [CNDC],Simulated [Baseline]
CORANI,307830,328740.5998
SANTA ISABEL,456430,476551.0018
SAN JOSE 1,291649,316271.9775
SAN JOSE 2,337304,344707.2048
MISICUNI,101626,267415.1654
KANATA,24032,34470.89381
QUEHATA,6658,4289.949245
MIGUILLA,8648,10572.90397
ANGOSTURA,20035,34511.01194
CHOQUETANGA,36838,40509.24588
CARABUCO,37279,44829.51069
SISTEMA ZONGO,9745,10104.04741
VZ - TIQUIMANI,8493,24246.4742
VZ - BOTIJILACA,35610,40098.23935
VZ - CUTICUCHO,112666,119094.315
VZ - SANTA ROSA,73471,50424.91399
VZ - SAINANI,61380,76458.38869
VZ - CHURURAQUI,126183,159950.2894
VZ - HARCA,149413,169835.8861
VZ - CAHUA,149483,175880.6866
VZ - HUAJI,168791,166875.3454
CHOJLLA,124107,132890.2382
YANACACHI,192358,206070.3524
KILPANI,41787,59502.73575
LANDARA,18932,21250.8027
PUNUTUMA,17561,21886.77262
SAN JACINTO,21005,25649.00609
