Name,ZONE,Factor,Technology,Adaptado,Flow (m3/s),Falls down (M),Power (MW),
SISTEMA ZONGO,NO,1,HDAM,HDAM,0.37,379,11.04,
VALLE DE ZONGO - TIQUIMANI,NO,1,HDAM,HDAM,0.18,513,9.72,
VALLE DE ZONGO - BOTIJILACA,NO,1,HROR,HROR,1.31,383,6.81,
VALLE DE ZONGO - CUTICUCHO,NO,1,HROR,HROR,0.23,668,22.97,
VALLE DE ZONGO - SANTA ROSA,NO,1,HDAM,HDAM,0.27,187.5,17.59,
VALLE DE ZONGO - SANTA ROSA 2,NO,1,HDAM,HDAM,0.27,832,6.8,NO
VALLE DE ZONGO - SAINANI,NO,1,HROR,HROR,0.45,291,10.5,
VALLE DE ZONGO - CHURURAQUI,NO,1,HROR,HROR,1.5,375,25.39,
VALLE DE ZONGO - HARCA,NO,1,HROR,HROR,0.85,345,25.85,
VALLE DE ZONGO - CAHUA,NO,1,HROR,HROR,1.01,285,28.02,
VALLE DE ZONGO - HUAJI,NO,1,HROR,HROR,1.48,250,30.15,
CHOJLLA,NO,1,HDAM,HDAM,0.79,560.8,38.4,
YANACACHI,NO,1,HROR,HROR,1.15,492.3,50.79,
CORANI,CE,1,HDAM,HDAM,21.4,622.3,65.24,
SANTA ISABEL,CE,1,HROR,HDAM,21.4,856.7,91.11,
SAN JOSE 1,CE,1,HROR,HDAM,21.4,313,55,
SAN JOSE 2,CE,1,HROR,HDAM,,341.82,69,
MISICUNI,CE,1,HDAM,HDAM,2.39,1035.5,120,
MIGUILLA,CE,1,HDAM,HDAM,16,480,2.55,
ANGOSTURA,CE,1,HDAM,HDAM,1.17,533,6.23,
CHOQUETANGA,CE,1,HROR,HROR,1.27,488,6.2,
CARABUCO,CE,1,HROR,HROR,1.82,337,6.13,
SAN JACINTO,SU,1,HDAM,HDAM,2.46,47.9,7.6,
QUEHATA,NO,1,HDAM,HDAM,1.15,170,1.97,
