CENTRALES HIDROELECTRICAS,PRUEBA,PRUEBA2,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL
CORANI,1,5,32399,27312,23264,11710,16818,31398,36002,35871,36334,28384,15233,13103,307830
SANTA ISABEL,2,6,52008,46585,35097,17830,23732,43867,50070,49922,50887,40597,21905,23931,456430
SAN JOSE I,3,7.2,36977,34408,31480,21477,18682,23120,23190,22872,22417,20908,12876,23242,291649
SAN JOSE II,4,8.64,42497,39685,36505,24950,21763,26791,26617,26522,25947,24351,14900,26776,337304
ZONGO,5,10.368,435,1054.49,789,606,388,808,944,983,783,778,594,1583,9745
TIQUIMANI,6,12.4416,576,691,530,620,83,879,1632,1176,617,548,301,838,8493
BOTIJLACA,7,14.92992,3916,4395,4419,3587,1811,2185,2722,2439,1905,2253,1780,4199,35610
CUTICUCHO,8,17.915904,16186,14908,16005,13424,6370,5906,6571,2225,4926,7856,5080,13208,112666
SANTA ROSA,9,21.4990848,9714,9087,9039,8177,6299,4073,3379,3306,2813,3433,4802,9349,73471
SAINANI,10,25.79890176,7433,6916,7493,7127,3763,3374,3507,3175,2714,4714,3886,7278,61380
CHURURAQUI,11,30.95868211,16270,14631,16133,12197,9288,7666,6921,6112,5534,9374,7062,14996,126183
HARCA,12,37.15041853,18861,17902,19066,17520,13999,8892,7324,6277,5754,10465,7477,15878,149413
CAHUA,13,44.58050224,20210,18522,20310,18725,14076,8808,6842,5594,4721,6571,6582,18521,149483
HUAJI,14,53.49660269,21061,20241,22037,20850,17552,10821,8363,7150,6971,12633,10061,11051,168791
MIGUILLA,15,64.19592323,639,1078,1268,728,478,574,678,895,475,732,537,566,8648
ANGOSTURA,16,77.03510787,1066,2029,1155,1497,1090,1874,2820,2429,1409,1934,807,1926,20035
CHOQUETANGA,17,92.44212945,4125,3832,4357,3088,2172,2482,3464,3342,2091,2915,1663,3307,36838
CARABUCO,18,110.9305553,3770,4039,3015,3759,2823,2996,3503,3390,1946,2964,1783,3292,37279
CHOJLLA,19,133.1166664,21931,23499,20938,13876,5215,4526,3575,2518,4386,6433,2540,14669,124107
YANACACHI,20,159.7399997,30409,30774,33986,24481,10874,7353,4931,3731,6007,10236,5384,24192,192358
KANATA,21,191.6879996,2525,3525,3293,2388,1705,1340,1625,1419,1383,1636,1557,1635,24032
KILPANI,22,230.0255995,3483,3622,4911,4079,3649,3394,3417,3305,3215,2524,3047,3143,41787
LANDARA,23,276.0307195,1565,1635,2271,1916,1700,1573,1559,1176,1436,1399,1322,1380,18932
PUNUTUMA,24,331.2368633,1541,1335,1604,1655,1713,1646,1702,1433,1465,1355,881,1232,17561
QUEHATA,25,397.484236,726,504,797,1178,836,613,416,345,324,331,218,371,6658
SAN JACINTO,26,476.9810832,3492,4275,4930,2584,975,640,569,533,796,796,631,784,21005
MISICUNI,27,572.3772999,4818,3326,3421,5367,10562,11648,11575,11368,10717,9326,10493,9004,101626
