,0
[67] - VALLE DE ZONGO - TIQUIMANI,30346.249092179285
[95] - WAR04,770.8124374051908
[99] - ARJ08,12593.566002110416
[107] - ARJ14,1057.3445278772704
[94] - WAR03,20773.892380435227
[14] - BUL02,7340.890125058338
[85] - GCH11,27215.14925567047
[114] - CCSUR40-41-42,389741.8099861618
[93] - WAR02,24815.482254618466
[32] - CHOQUETANGA,54007.25768029527
[34] - KANATA,83147.63773775318
[33] - CARABUCO,53772.359999992805
[28] - SAN JOSE 2,396401.3024582296
[97] - CCWAR30-31-32,111149.34369532121
[37] - SBU01,8384.718869562706
[29] - MISICUNI,1053998.8658058657
[117] - KILPANI,3648.006608854317
[20] - CCERI30-31-32,436273.46334410214
[118] - LANDARA,1303.0294381320841
[31] - ANGOSTURA,49449.703064601345
[119] - PUNUTUMA,1342.120320801492
[80] - GCH02,655.7536763362043
[76] - CHOJLLA,196644.54930757158
[71] - VALLE DE ZONGO - SAINANI,85053.92724868786
[86] - GCH12,627814.2474636143
[25] - CORANI,572763.9117458095
[113] - CCSUR30-31-32,201395.2554189532
[26] - SANTA ISABEL,800217.0317745681
[98] - CCWAR40-41-42,455598.43107340665
[66] - SISTEMA ZONGO,2935.376105655806
[35] - ALT01,9357.406795610768
[78] - SISTEMA QUEHATA,3892.0244879127554
[9] - QOLLPANA II,16340.443183873926
[104] - ARJ11,49.68593064867198
[22] - CCERI50-51-52,24690.401671636988
[12] - CAR03,4852.375116413109
[13] - BUL01,10178.512685960877
[21] - CCERI40-41-42,808951.4908230056
[70] - VALLE DE ZONGO - SANTA ROSA,65053.14593761156
[30] - MIGUILLA,15456.988745167191
[69] - VALLE DE ZONGO - CUTICUCHO,158425.65690606108
[68] - VALLE DE ZONGO - BOTIJILACA,50059.801375272604
[90] - GBE01,73521.0
[24] - ORURO II,101097.31537645322
[7] - VHE08,4188.062107436199
[6] - VHE07,3929.124643257533
[15] - BUL03,2754.1789742223423
[77] - YANACACHI,358028.39958452724
[83] - GCH09,149198.89808352193
[89] - UNA01,57875.400000003065
[105] - ARJ12,1303.272217630443
[106] - ARJ13,1244.7369397030309
[108] - ARJ15,807.464372697173
[4] - VHE05,3837.059281838011
[72] - VALLE DE ZONGO - CHURURAQUI,192031.8628841911
[115] - UYUNI_COLCHAK,110287.29445794522
[112] - SUR04,909.1907902784367
[84] - GCH10,199228.12043921713
[116] - YUNCHARA,7589.561508341413
[27] - SAN JOSE 1,477332.8414784805
[23] - ORURO I,101067.70242606034
[5] - VHE06,1172.6908536340886
[79] - GCH01,6.736000000000001
[75] - VALLE DE ZONGO - HUAJI,171456.43334864604
[120] - SAN JACINTO,26343.60136073961
[74] - VALLE DE ZONGO - CAHUA,205420.36330220322
[92] - WAR01,12819.570174587025
[8] - QOLLPANA I,3185.629388497709
[103] - ARJ09,1027.8449582734975
[96] - WAR05,17217.48621249095
[73] - VALLE DE ZONGO - HARCA,195274.09064698027
